sid,symbol,name,c_name,localSymbol,exchange,currency,gateway,secType
790,000790,泰合健康,生物制药,000790,szse,CNY,STOCK,STK
791,000791,甘肃电投,电力行业,000791,szse,CNY,STOCK,STK
792,000792,盐湖股份,农药化肥,000792,szse,CNY,STOCK,STK
793,000793,华闻传媒,传媒娱乐,000793,szse,CNY,STOCK,STK
795,000795,英洛华,其它行业,000795,szse,CNY,STOCK,STK
796,000796,凯撒旅游,食品行业,000796,szse,CNY,STOCK,STK
797,000797,中国武夷,房地产,000797,szse,CNY,STOCK,STK
798,000798,中水渔业,农林牧渔,000798,szse,CNY,STOCK,STK
799,000799,酒鬼酒,酿酒行业,000799,szse,CNY,STOCK,STK
800,000800,一汽轿车,汽车制造,000800,szse,CNY,STOCK,STK
801,000801,四川九洲,电子信息,000801,szse,CNY,STOCK,STK
802,000802,北京文化,酒店旅游,000802,szse,CNY,STOCK,STK
803,000803,*ST金宇,纺织行业,000803,szse,CNY,STOCK,STK
806,000806,银河生物,发电设备,000806,szse,CNY,STOCK,STK
807,000807,云铝股份,有色金属,000807,szse,CNY,STOCK,STK
809,000809,铁岭新城,房地产,000809,szse,CNY,STOCK,STK
810,000810,创维数字,电子器件,000810,szse,CNY,STOCK,STK
811,000811,烟台冰轮,机械行业,000811,szse,CNY,STOCK,STK
812,000812,陕西金叶,印刷包装,000812,szse,CNY,STOCK,STK
813,000813,德展健康,纺织行业,000813,szse,CNY,STOCK,STK
815,000815,美利云,造纸行业,000815,szse,CNY,STOCK,STK
816,000816,智慧农业,机械行业,000816,szse,CNY,STOCK,STK
818,000818,方大化工,化工行业,000818,szse,CNY,STOCK,STK
819,000819,岳阳兴长,石油行业,000819,szse,CNY,STOCK,STK
820,000820,神雾节能,造纸行业,000820,szse,CNY,STOCK,STK
821,000821,京山轻机,机械行业,000821,szse,CNY,STOCK,STK
822,000822,山东海化,化工行业,000822,szse,CNY,STOCK,STK
823,000823,超声电子,电子器件,000823,szse,CNY,STOCK,STK
825,000825,太钢不锈,钢铁行业,000825,szse,CNY,STOCK,STK
826,000826,启迪桑德,环保行业,000826,szse,CNY,STOCK,STK
828,000828,东莞控股,公路桥梁,000828,szse,CNY,STOCK,STK
829,000829,天音控股,商业百货,000829,szse,CNY,STOCK,STK
830,000830,鲁西化工,农药化肥,000830,szse,CNY,STOCK,STK
831,000831,*ST五稀,有色金属,000831,szse,CNY,STOCK,STK
833,000833,贵糖股份,造纸行业,000833,szse,CNY,STOCK,STK
835,000835,长城动漫,传媒娱乐,000835,szse,CNY,STOCK,STK
836,000836,鑫茂科技,电子信息,000836,szse,CNY,STOCK,STK
837,000837,秦川机床,机械行业,000837,szse,CNY,STOCK,STK
838,000838,财信发展,房地产,000838,szse,CNY,STOCK,STK
839,000839,中信国安,综合行业,000839,szse,CNY,STOCK,STK
848,000848,承德露露,食品行业,000848,szse,CNY,STOCK,STK
850,000850,华茂股份,纺织行业,000850,szse,CNY,STOCK,STK
851,000851,高鸿股份,电子信息,000851,szse,CNY,STOCK,STK
852,000852,石化机械,机械行业,000852,szse,CNY,STOCK,STK
856,000856,*ST冀装,机械行业,000856,szse,CNY,STOCK,STK
858,000858,五 粮 液,酿酒行业,000858,szse,CNY,STOCK,STK
859,000859,国风塑业,塑料制品,000859,szse,CNY,STOCK,STK
860,000860,顺鑫农业,酿酒行业,000860,szse,CNY,STOCK,STK
861,000861,海印股份,房地产,000861,szse,CNY,STOCK,STK
862,000862,银星能源,电力行业,000862,szse,CNY,STOCK,STK
863,000863,三湘印象,房地产,000863,szse,CNY,STOCK,STK
868,000868,安凯客车,汽车制造,000868,szse,CNY,STOCK,STK
869,000869,张 裕Ａ,酿酒行业,000869,szse,CNY,STOCK,STK
875,000875,吉电股份,电力行业,000875,szse,CNY,STOCK,STK
876,000876,新 希 望,农林牧渔,000876,szse,CNY,STOCK,STK
877,000877,天山股份,水泥行业,000877,szse,CNY,STOCK,STK
878,000878,云南铜业,有色金属,000878,szse,CNY,STOCK,STK
